记录ID,ISBN,书名,状态,购入价格,售出价格,售出时间,历史最高价,处理标签,备注,2026-07-18,2026-07-19,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24
2aa5cdc6118d4512826df73d37f96d3a,'9787513945721,阿提拉、成吉思汗与帖木儿（草原帝国）,持有,41,,,24.30,,,21.30,21.30,21.30,21.30,20.30,24.30,24.30
2dfea5fb89884b42927c3383ddfa0c9e,'9787519468088,历史的逻辑,持有,69,,,39.80,,,38.80,30.80,27.80,27.80,35.80,32.80,29.80
303945d813da4ac8aa0809abefdfea63,'9787568910569,导读维特根斯坦《逻辑哲学论》,持有,17.5,,,9.00,,,8.40,8.40,8.50,8.50,9.00,9.00,8.30
0b5f087b484c4095ba0e71866e48450c,'9787544798853,看不见的城市,持有,9,,,2.70,,,1.30,1.30,1.30,1.30,1.30,1.30,1.30
9db659fa85c6415aada177defa9ae9b9,'9787542669018,文学回忆录(1989-1994),持有,80,,,49.10,,,39.10,41.10,40.10,39.10,34.10,34.10,34.10
70ebee59e58d400ab61df007e60fbef1,'9787511213273,南明史（上下）,持有,29.4,,,51.90,,,43.90,40.90,39.90,37.90,39.90,40.90,0.0
1f7bc132f5c349368ec85236faadb92c,'9787547240519,思维解码：图解博弈论,已售,0,1,2026-07-24,1.60,已售,,,,,,,,
88e5b38493d641e5884ef9f74da5e331,'9787543897250,我是落花生的女儿,持有,0,,,21.40,,,21.40,21.40,21.40,21.40,21.40,21.40,21.40
6b0d7c5a6e76464b8b49949dc58f6121,'9787115403650,凤凰项目（一个IT运维的传奇故事）,持有,0,,,1.90,,,1.90,1.90,1.90,1.90,1.90,1.90,1.90
5d5bbe55ba7646f29120791d71ee4b3f,'9787511357779,彩色图解山海经,已售,0,1.4,2026-07-24,2.10,已售,,,,,,,,
c51414742d1e41189bd176ff4fd549f3,'9787532655434,李白诗歌鉴赏辞典,持有,9,,,2.00,,,1.70,1.70,1.70,1.70,1.70,1.70,1.70
92bce6816c8944fbadbf1ff81c2b365a,'9787519045944,顽固与脆弱（古代历史上的泛权力）,持有,0,,,4.10,,,3.80,3.80,3.80,1.70,1.70,3.70,3.70
40087b08b95c459596669d287e7bea25,'9787510845703,四时读书乐,持有,10,,,6.80,,,6.20,2.00,2.00,2.00,2.00,2.00,2.00
c846f623760e4f56a4ef0faee09d6b7e,'9787560970189,启示录（打造用户喜爱的产品）,持有,0,,,2.60,,,1.50,1.50,1.50,1.50,1.50,1.50,1.50
1df8f098ef2d44698327aa83b1ee0d9a,'9787301298312,计算未来（人工智能及其社会角色）,持有,0,,,2.20,,,2.20,2.20,2.20,2.20,2.20,2.20,2.20
f51bf51fbe5349c2ab04b87859c737db,'9787508630069,史蒂夫·乔布斯传,持有,0,,,7.00,,,3.50,3.50,3.50,3.50,3.50,3.50,3.50
5b7f57c75de749ba8d90bec109e314da,'9787549543519,我承认我不曾历经沧桑,已售,15,1.2,2026-07-24,1.80,已售,,,,,,,,
df30d3fcad9e4ce49d623366562a3e06,'9787516809693,十四年（从1931到1945）,持有,32,,,19.90,待售,,15.90,15.90,15.90,19.90,19.90,19.90,19.90
519e3f68a35c4d9e9c127567379628b0,'9787553824390,浮生六记(全本全注全译全彩插图本)(限量编码绘签版),持有,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.0
efe6981c314d43248abcff7d58ebbb86,'9787121231155,RESTful Web APIs中文版,持有,10,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.0
64b34c82c18d4c958091cedfc6e84a93,'9787115373557,数学之美 （第二版）,持有,20,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.0
1c1ef954f2034f5d98b5888820473125,'9787020191598,卡拉马佐夫兄弟(上下),持有,45.5,,,51.80,,,44.80,42.80,42.80,37.80,34.80,28.80,26.80
a9556ccb449d48d1b7f1267f3f0d9ea9,'9787532195206,思想与历史的火花（周雪光阅读笔记2）,持有,19.5,,,26.20,,,24.20,24.20,24.20,26.20,26.20,22.20,22.20
45554d66cdab415fa5c0a11b652056e1,'9787532969364,少年世界史,持有,56.8,,,52.50,,,36.50,33.50,34.50,34.50,35.50,29.50,29.50
a1aac4446b584d4a99d131c95bf8621a,'9787100221870,蔡义江新评红楼梦(上下)(精装典藏本),持有,118.5,,,131.70,,,12.80,12.80,70.70,70.70,68.70,86.70,86.70
0165102571f94894a22f685f25dd7acd,'9787221175540,魏文帝集全译(上下),持有,66.8,,,39.30,,,39.30,39.30,39.30,39.30,38.30,38.30,38.30
708076b423274acfb69f0056507357ca,'9787559895257,黑暗时代的人们（20世纪欧洲流亡知识分子群像）,持有,27,,,21.60,,签名版,21.60,16.60,20.60,17.60,17.60,20.60,20.60
8935460e8ae147a38483060312a2b117,'9787218183909,变老之前要知道,已售,16,27.2,2026-07-24,30.20,已售,,,,,,,,
87fc3fcde10d419f88b483e32b607c5f,'9787501269150,大博弈,持有,20,,,24.10,,,14.10,14.10,13.10,12.70,14.10,15.10,16.10
b63bec1b6d9e4f53bfad54639f5f0e3e,'9787218183282,控制论与科学方法论,持有,13,,,32.60,已看,,26.60,25.60,25.60,24.60,24.60,23.60,23.60
ba227403bf034345afe303ad877871b6,'9787580702708,肉与灵（当社会学家化身拳击手）,持有,22,,,26.60,,,23.60,26.60,26.60,15.60,25.60,25.60,25.60
5115e5511ae341c6b1568209408cfb23,'9787208192294,安史之乱（历史、宣传与神话）,持有,30,,,34.30,,,32.30,32.30,33.30,34.30,34.30,34.30,34.30
2f0fb930a7d24e6187dc391d04b3f051,'9787573624550,重校《八家评批红楼梦》,持有,350,,,279.20,,,279.20,279.20,279.20,269.20,259.20,269.20,259.20
6d78e70d46404c62b3f0c23b1e5be35b,'9787532195305,转型时代的阅读与感怀,未持有,,,,27.20,,,20.20,20.20,22.20,22.20,22.20,23.20,23.20
2e07ed25692f4e57af912f38e3702c40,'9787515373850,红岩,持有,11,,,24.90,,,24.90,24.90,24.90,24.90,24.90,24.90,24.90
89f377774ce7477582ce14e384abd76c,'9787536097261,一句顶一万句,未持有,,,,18.20,,,,,,,,,
e8652b3ad66542da9611b45ac7e57a04,'9787100234245,康熙的红票:全球化中的清朝,持有,10,,,24.20,,,23.20,23.20,23.20,24.20,24.20,24.20,24.20
86affc791afa4f3593d39b539d873bf2,'9787020139736,黄河东流去（茅盾文学奖获奖作品全集9）,持有,7,,,15.50,,,15.50,15.50,15.50,15.50,14.50,14.50,14.50
e0d0107e0d31446cba4af2528b403292,'9787553823935,世说新语(全本全注全译全彩图本),持有,30,,,36.70,,,36.70,36.70,23.70,23.70,22.70,20.70,20.70
4d2359d3e462450fb78e2d25f0ba9190,'9787542682697,红楼梦:程乙本校注版(插图袖珍本),持有,41,,,68.30,,,65.30,65.30,65.30,64.30,63.30,63.30,68.30
86fee845448f45d880ab2b01c8402a56,'9787540483432,病隙碎笔（纪念版）,持有,5,,,11.40,,,11.40,11.40,11.40,11.40,11.40,11.40,11.40
55ca30f9e6e24c42af7a4eb6f15a9f73,'9787308253123,托尔斯泰或陀思妥耶夫斯基,持有,10,,,24.40,,,24.40,24.40,22.40,21.40,21.40,21.40,17.40
21ae5286dd7d48e79b18a5a7d12b7d26,'9787559465979,老人与海(插图珍藏版),持有,9,,,11.20,,,11.20,11.20,11.20,11.20,10.80,11.20,11.20
c9e6e27666b345c8a1d4fe841a7ec8ed,'9787115689399,认知心理学(第4版),持有,25,,,49.10,,,35.10,29.10,24.10,21.10,21.10,16.10,14.10
8230ce7708ab49efa06cfd6b9c6d1af4,'9787559459480,呼啸山庄(插图珍藏版),持有,11,,,17.70,,,13.70,16.70,16.70,17.70,16.70,16.70,16.70
dcc3e4714d6940da8ad129e7a32b1fce,'9787220144769,愤怒的葡萄,持有,11.5,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.0
7902c7691a3d46e7ab60c7f559d5307c,'9787020084357,我与地坛,持有,4,,,6.20,,,4.10,4.00,4.00,6.20,6.00,6.00,6.00
94afbda7c281476ab22623fd37985777,'9787559690654,八王之乱,持有,27,,,45.70,,,0.00,39.70,43.70,43.70,42.70,40.70,37.70
f56ee5a4bf3d4f9e8787eae746a7dc81,'9787218138077,飘忽不定,持有,47,,,14.40,,,,14.40,14.40,14.40,13.40,13.40,13.40
6c8078438da9480381993542601412e4,'9787521217384,主角,持有,16,,,29.70,,,,,29.70,27.70,29.70,29.70,26.70
75b602dab160430996b9234d3a55487d,'9787513951302,我们一无所有,持有,6,,,3.70,,,,,3.70,3.40,2.00,2.00,3.30
910e83861346402aa3e8a969bfacfcc1,'9787213119859,帝国余晖（现代英国的命运转折）,持有,27,,,0.00,,,,,0.00,0.00,0.00,0.00,0.0
5788d4f8310d4ed78f3efd9e9893514b,'9787521777680,AI文明史,未持有,,,,15.70,,,,,,,,,15.70
