ISBN,书名,购入价格,售出价格,备注
'9787020199617,白鹿原,17,,
'9787203128830,暮日耀光（张居正与明代中后期政局（精装珍藏版））,40,,
'9787523607961,遗忘的脑力,28,,已看
'9787542675217,重读20世纪中国小说,74,,
'9787020189274,浮生六记(彩绘本),19,,
'9787513945721,阿提拉、成吉思汗与帖木儿（草原帝国）,41,,
'9787519468088,历史的逻辑,69,,
'9787568910569,导读维特根斯坦《逻辑哲学论》,17.5,,
'9787544798853,看不见的城市,9,,
'9787542669018,文学回忆录(1989-1994),80,,
'9787511213273,南明史（上下）,29.4,,
'9787547240519,思维解码：图解博弈论,0,,
'9787543897250,我是落花生的女儿,0,,
'9787115403650,凤凰项目（一个IT运维的传奇故事）,0,,
'9787511357779,彩色图解山海经,0,,已看
'9787532655434,李白诗歌鉴赏辞典,9,,
'9787519045944,顽固与脆弱（古代历史上的泛权力）,0,,
'9787510845703,四时读书乐,10,,
'9787560970189,启示录（打造用户喜爱的产品）,0,,
'9787301298312,计算未来（人工智能及其社会角色）,0,,
'9787508630069,史蒂夫·乔布斯传,0,,
'9787549543519,我承认我不曾历经沧桑,15,1.2,已售
'9787516809693,十四年（从1931到1945）,32,,待售
'9787553824390,浮生六记(全本全注全译全彩插图本)(限量编码绘签版),0,,
'9787121231155,RESTful Web APIs中文版,10,,
'9787115373557,数学之美 （第二版）,20,,
'9787020191598,卡拉马佐夫兄弟(上下),45.5,,
'9787532195206,思想与历史的火花（周雪光阅读笔记2）,19.5,,
'9787532969364,少年世界史,56.8,,
'9787100221870,蔡义江新评红楼梦(上下)(精装典藏本),118.5,,
'9787221175540,魏文帝集全译(上下),66.8,,
'9787559895257,黑暗时代的人们（20世纪欧洲流亡知识分子群像）,27,,签名版
'9787218183909,变老之前要知道,21,,
'9787501269150,大博弈,20,,
'9787218183282,控制论与科学方法论,13,,已看
'9787580702708,肉与灵（当社会学家化身拳击手）,22,,
'9787208192294,安史之乱（历史、宣传与神话）,30,,
'9787573624550,重校《八家评批红楼梦》,350,,
'9787532195305,转型时代的阅读与感怀,,,
'9787515373850,红岩,11,,
'9787536097261,一句顶一万句,,,
'9787100234245,康熙的红票:全球化中的清朝,,,
'9787020139736,黄河东流去（茅盾文学奖获奖作品全集9）,7,,
'9787553823935,世说新语(全本全注全译全彩图本),30,,
'9787542682697,红楼梦:程乙本校注版(插图袖珍本),47,,
'9787540483432,病隙碎笔（纪念版）,7,,
