日期,记录ID,ISBN,书名,价格,历史最高价,最高价日期
2026-09-02,a1aac4446b584d4a99d131c95bf8621a,'9787100221870,蔡义江新评红楼梦(上下)(精装典藏本),131.70,,
2026-09-02,a8f35fc50bc7424ba068c98803203e4e,'9787559826473,鳄鱼街,7.90,,
2026-09-02,a9556ccb449d48d1b7f1267f3f0d9ea9,'9787532195206,思想与历史的火花（周雪光阅读笔记2）,25.20,,
2026-09-02,aaa1d0cda27b43bea78a6c8225df5c9a,'9787559828910,从废园到燕园,2.80,,
2026-09-02,ad12a04bc8ff4837be2a66cb2c1f9d2d,'9787115545374,认知觉醒（百万册精装纪念版）（开启自我改变的原动力）,10.90,25.00,2026-08-27
2026-09-02,b10d6bfe04934ae9a34643adf99d762c,'9787020177066,芙蓉镇,8.00,,
2026-09-02,b4022fee164a483f8ec06345fdc4f7d5,'9787020199617,白鹿原,11.70,,
2026-09-02,b43cda10c47f41ab8086372b23b5a2b3,'9787225068480,大河源,4.60,,
2026-09-02,b5cd98addf4b41729633991ec2fbbc14,'9787801958457,提升中学生财商的128个故事,,,
2026-09-02,b63bec1b6d9e4f53bfad54639f5f0e3e,'9787218183282,控制论与科学方法论,25.60,,
2026-09-02,b6a0a87576ee438ca05dc77fc3d6188b,'9787511876706,历史的巨镜,38.00,,
2026-09-02,b75fdd3dc2eb413591d9615bfdd502c5,'9787520741309,北京法源寺,17.40,,
2026-09-02,bba84f9e10f3429ab96a424eda012322,'9787520720106,轴心文明与现代社会（探索大历史的结构）,53.30,,
2026-09-02,be2c0ad13d464d8c9d8e6cd572979c57,'9787201174327,王安石传,20.70,,
2026-09-02,be4a372015914e75bebebed9598846ae,'9787020102792,荷马史诗·奥德赛,10.50,,
2026-09-02,c1ce6a689adb4d09948c67fec697be26,'9787532767427,论自由,9.50,,
2026-09-02,c51414742d1e41189bd176ff4fd549f3,'9787532655434,李白诗歌鉴赏辞典,1.70,,
2026-09-02,c585b17d1daa45bcbaf69d0ba2ecd372,'9787544285025,金色梦乡,5.00,,
2026-09-02,c758769e4e9944eeb68e8b267b79177c,'9787513953207,另一个国度,26.20,,
2026-09-02,c8bfeda112624140a5c5b573fcc39eca,'9787020104499,包法利夫人,5.50,,
2026-09-02,c8de952c1c1a466b8c4a452e6d2295a6,'9787535488473,自在独行（贾平凹的独行世界）,1.60,,
2026-09-02,c9e6e27666b345c8a1d4fe841a7ec8ed,'9787115689399,认知心理学(第4版),34.10,,
2026-09-02,cbebd6b00f36468098b4742f629e4bb7,'9787550207479,中国最美的100个地方,2.60,,
2026-09-02,ccdf4c5e945540388c03d7049b069f4d,'9787020108480,1948：天地玄黄,9.70,,
2026-09-02,d26328020c4e4510850f077de0e37a83,'9787559832016,德伯家的苔丝,23.90,,
2026-09-02,d5a9c406554444599e278d513a60e35d,'9787020138661,儒林外史,5.60,,
2026-09-02,d7476af33f234fa986127a9f05a8681a,'9787553812649,南明五帝：抗争、困局与幻灭,28.10,,
2026-09-02,d8b14b505102440f8dce65d11c9a7838,'9787549599226,平如美棠（我俩的故事（第三版））,2.40,,
2026-09-02,da812a874dce4c1d9eef6c10db2f3c3a,'9787302656142,红楼梦脂评汇校本,6.00,,
2026-09-02,dad15af13fa44a83abd1f7daa3be600c,'9787115661937,哈利·波特-魔法全书,3.90,,
2026-09-02,dc1e01c784f746cb902f817fec98ed08,'9787563353255,写给孩子的哲学启蒙书（第2卷）,,,
2026-09-02,dcc3e4714d6940da8ad129e7a32b1fce,'9787220144769,愤怒的葡萄,,,
2026-09-02,de1f01dfcf5d45b995140b5dcca4d9f8,'9787559831941,沙漠与沙,8.10,,
2026-09-02,e0a19468f34f4fa588b1454f8fda845c,'9787532194810,韦伯与社会学的视野,15.20,,
2026-09-02,e0d0107e0d31446cba4af2528b403292,'9787553823935,世说新语(全本全注全译全彩图本),34.70,,
2026-09-02,e0fe273453b345e78cf554f0898059ac,'9787220106699,娜塔莎之舞（俄罗斯文化史）,33.30,,
2026-09-02,e12b512ae0ba4a36ab6e1afdc16304ff,'9787559851369,最后的达·芬奇（4.5亿美元的油画背后所隐藏的秘密）,2.80,,
2026-09-02,e373a33ec1ac4cedb95886f8e70d0ede,'9787020199815,理想的教育(印签版),7.00,,
2026-09-02,e3b8c063dbe64608a2a87c2dfdcef09a,'9787530221280,流俗地,16.70,16.70,2026-09-02
2026-09-02,e41e85d7e1514117ad8b8360df3c53ae,'9787558198526,齐天大圣连环画绘本(全12册),,,
2026-09-02,e4e1262841b5414cbe880c220d9819a0,'9787559496645,安娜·卡列尼娜（插图珍藏版）,20.80,,
2026-09-02,e8652b3ad66542da9611b45ac7e57a04,'9787100234245,康熙的红票:全球化中的清朝,18.20,,
2026-09-02,eb0a88d6f7b94f27956dad85af23eca0,'9787576069457,无年龄的人（一个人类学家对自我、时间与意义的研究）,20.90,,
2026-09-02,efe6981c314d43248abcff7d58ebbb86,'9787121231155,RESTful Web APIs中文版,,,
2026-09-02,f048d8b00df241ffb0f14e4feeee3e30,'9787522549385,啸风山庄,,,
2026-09-02,f1c1306d396c4b0c9a9d414d7842ff2b,'9787522606583,汪曾祺给孩子的写作课,15.70,,
2026-09-02,f38336ff7deb4410aa5a842cbcd09339,'9787020150502,水浒传,7.20,,
2026-09-02,f56ee5a4bf3d4f9e8787eae746a7dc81,'9787218138077,飘忽不定,15.40,,
2026-09-02,f9208bbccbcd467ba3f67ad96eca22fc,'9787020174720,哈利·波特与凤凰社(全彩绘本),15.50,,
2026-09-02,fa2713fa57794a848d6f20dbdfd94266,'9787100087667,乡土中国 生育制度 乡土重建,12.20,,
2026-09-02,fc06d4674eeb4f3c8c7c62b4ac1274d6,'9787520219709,国家的抉择（明治维新20讲）,15.40,,
2026-09-02,fc70f7ed87074c93928c95bf4b4756bd,'9787559830951,自然的召唤（粪便的秘密）,2.40,,
2026-09-02,fcd807432aae43b1a55fa927f9c0258f,'9787532148004,繁花,5.10,,
2026-09-02,fe927933e58248e081dcb5f09c3a11d0,'9787301296462,经典之外的阅读,23.40,,
2026-09-02,ffa0c76141364e1e8f2a85f73e50d51a,'9787511812315,开放中的变迁（再论中国社会超稳定结构）,10.10,,
